903 2712
735 456 873
216 293 263
630 717 604
391 68 585
94 675 43
46 874 10
635 356 983
52 602 417
714 687 651
686 880 9
399 435 149
405 706 38
509 415 232
255 881 438
543 685 923
593 603 786
428 229 81
60 261 854
850 179 272
397 398 63
357 503 643
821 238 49
54 351 225
604 798 199
710 764 808
607 311 420
151 123 553
683 613 454
476 250 75
461 312 252
5 74 621
228 889 456
751 231 584
439 499 458
43 850 335
635 44 587
376 577 889
862 80 159
813 584 631
642 396 379
38 615 147
745 465 169
203 206 841
782 698 883
157 613 284
325 896 607
401 187 319
75 47 219
35 466 433
142 195 331
783 837 741
321 244 975
130 151 880
890 280 843
694 76 13
712 687 556
767 102 434
596 812 27
539 872 258
12 489 781
867 302 939
802 661 928
692 386 264
640 664 605
373 565 894
509 474 423
741 894 706
90 60 993
629 407 192
9 504 478
311 92 653
686 793 686
832 126 196
138 792 759
82 665 567
392 58 321
144 657 791
707 113 41
747 295 400
515 239 411
8 180 31
604 311 78
498 379 687
132 323 956
610 372 361
8 228 500
20 326 218
2 889 36
456 422 706
12 203 216
477 224 125
422 835 955
839 167 909
785 370 419
461 545 26
186 454 673
105 411 952
884 822 284
72 64 756
702 163 546
817 79 947
461 187 372
703 393 517
741 403 543
647 714 591
291 297 93
500 315 806
499 618 428
157 178 151
201 786 880
338 725 230
83 520 544
704 530 966
668 562 549
606 801 662
716 512 274
616 790 37
610 139 211
681 42 276
903 308 756
167 120 142
626 713 89
501 337 268
802 523 515
613 583 385
642 370 845
128 33 45
549 794 780
473 874 283
859 417 961
636 203 324
392 841 775
281 264 342
744 11 731
534 389 342
631 880 787
370 362 597
861 109 166
53 517 319
508 236 375
846 11 30
657 202 660
5 842 942
307 547 104
713 406 563
81 55 801
11 15 538
205 582 638
178 865 885
255 195 844
828 161 796
627 362 991
21 222 802
848 413 745
82 902 915
637 79 440
287 73 562
749 407 679
456 551 417
486 844 713
527 863 832
285 666 51
449 729 288
186 503 234
582 616 284
376 129 548
82 743 374
486 408 473
222 415 195
53 322 112
833 876 127
119 332 167
267 864 166
101 337 350
14 535 227
44 144 77
21 402 521
33 585 323
85 601 82
559 372 951
700 61 472
79 91 993
521 301 9
322 187 534
804 368 307
714 854 988
163 679 743
189 895 870
774 414 419
156 149 132
666 425 932
638 841 341
810 413 365
667 283 114
857 794 738
529 886 936
453 428 147
16 523 626
636 39 800
63 365 888
373 84 687
435 538 632
766 161 834
623 494 589
251 450 112
84 688 76
7 385 141
20 112 151
27 859 682
498 542 365
695 166 569
835 491 225
638 402 217
881 381 277
784 105 549
50 676 968
458 514 59
527 496 619
768 774 571
643 265 947
97 542 518
58 846 152
712 848 131
801 167 792
233 636 632
826 128 952
834 147 716
238 331 105
402 81 916
147 173 221
12 236 326
516 136 442
45 288 913
399 289 163
695 830 428
604 154 864
608 387 41
579 192 618
23 63 793
91 358 789
843 700 959
245 315 670
208 433 136
799 667 875
296 666 340
264 898 933
632 554 514
424 640 182
305 675 898
183 388 793
402 854 849
423 378 669
832 16 165
393 535 515
248 138 72
89 681 550
805 742 950
14 652 97
608 673 114
69 4 333
526 473 478
55 222 96
687 294 263
672 563 643
247 618 12
668 329 578
258 545 851
495 169 713
697 776 435
606 171 104
229 311 517
426 824 251
525 491 663
337 281 122
727 321 898
196 121 731
67 605 127
678 770 341
473 822 403
196 125 893
198 402 568
17 121 133
386 307 910
523 897 744
193 40 465
461 352 232
345 122 843
184 501 32
141 503 574
279 719 529
43 123 859
188 438 482
227 667 383
790 519 375
821 590 897
77 174 464
45 652 317
801 259 833
845 473 554
229 241 3
519 378 228
68 87 236
28 704 835
832 88 816
712 860 93
778 105 787
12 322 559
9 100 14
61 417 848
309 587 927
425 569 610
422 89 640
560 435 474
429 431 629
249 688 451
694 785 743
718 729 90
630 768 71
337 797 157
703 74 465
312 50 997
421 225 183
277 289 489
20 211 482
233 876 944
503 688 340
275 484 347
541 205 617
321 752 8
826 639 113
181 270 717
145 312 209
851 174 100
207 857 922
786 815 708
746 405 96
7 358 291
555 654 286
656 388 599
420 760 250
819 687 50
577 858 806
531 761 794
128 600 166
278 218 823
762 624 232
182 247 126
245 246 73
339 854 449
483 476 370
640 665 911
642 131 1
285 142 21
490 384 300
119 295 291
842 389 637
513 106 422
24 43 698
155 578 462
899 769 972
75 788 164
479 95 461
843 91 730
592 549 89
162 429 314
189 458 603
719 404 461
438 466 444
830 441 243
801 855 508
669 149 39
365 492 941
559 379 43
706 860 705
529 734 851
557 794 220
313 525 194
210 88 321
899 511 993
229 246 922
115 524 1000
